State,Medical marijuana legalized,Marijuana legalized for recreational use,No laws legalizing marijuana
Connecticut,Yes,,
Hawaii,Yes,,
Rhode Island,Yes,,
Arizona,Yes,,
Arkansas,Yes,,
Delaware,Yes,,
Florida,Yes,,
Illinois,Yes,,
Louisiana,Yes,,
Maryland,Yes,,
Minnesota,Yes,,
Montana,Yes,,
New Hampshire,Yes,,
New Jersey,Yes,,
New Mexico,Yes,,
New York,Yes,,
North Dakota,Yes,,
Pennsylvania,Yes,,
Alabama,,,Yes
Georgia,,,Yes
Idaho,,,Yes
Indiana,,,Yes
Iowa,,,Yes
Kansas,,,Yes
Kentucky,,,Yes
Mississippi,,,Yes
Missouri,,,Yes
Nebraska,,,Yes
North Carolina,,,Yes
Ohio,,,Yes
Oklahoma,,,Yes
South Carolina,,,Yes
South Dakota,,,Yes
Tennessee,,,Yes
Texas,,,Yes
Utah,,,Yes
Virginia,,,Yes
West Virginia,,,Yes
Wisconsin,,,Yes
Wyoming,,,Yes
Alaska,,Yes,
California,,Yes,
Colorado,,Yes,
Maine,,Yes,
Massachusetts,,Yes,
Michigan,,Yes,
Nevada,,Yes,
Oregon,,Yes,
Vermont,,Yes,
Washington,,Yes,